report_date,property,sports_wagering_net_receipts,sports_wagering_handle,sports_wagering_payouts,retail_net_receipts,retail_handle,retail_payouts,internet_net_receipts,internet_handle,internet_payouts,state_tax
2019-12-01,Isle of Capri - Bettendorf,-13083.16,3264034.79,3277117.95,-49690.15,1081371.35,1131061.5,36606.99,2182663.44,2146056.45,0.0
2019-12-01,Lakeside Casino,100523.88,2123298.63,2022774.75,50268.0,825152.45,774884.45,50255.88,1298146.18,1247890.3,6785.36
2019-12-01,Prairie Meadows Racetrack & Casino,1268159.28,19226698.38,17958539.1,150533.23,1562263.18,1411729.95,1117626.05,17664435.2,16546809.15,85600.75
2019-12-01,Q Casino,106238.63,1832757.72,1726519.09,38813.05,919200.8,880387.75,67425.58,913556.92,846131.34,7171.11
2019-12-01,Rhythm City Casino,42127.49,2101214.1,2059086.61,-4029.95,995754.35,999784.3,46157.44,1105459.75,1059302.31,2928.93
2019-12-01,Riverside Casino and Golf Resort,199391.16,4886908.17,4687517.01,-8066.84,643248.79,651315.63,207458.0,4243659.38,4036201.38,13431.5
2019-12-01,Wild Rose - Clinton,31724.09,193816.85,162092.76,31724.09,193816.85,162092.76,0.0,0.0,0.0,2141.38
2019-12-01,Wild Rose - Emmetsburg,-3008.11,196204.35,199212.46,-3008.11,196204.35,199212.46,0.0,0.0,0.0,0.0
2019-12-01,Wild Rose - Jefferson,8054.17,256834.33,248780.16,8054.17,256834.33,248780.16,0.0,0.0,0.0,543.66
2020-01-01,Ameristar II,415794.7,4189585.92,3773791.22,415794.7,4189585.92,3773791.22,0.0,0.0,0.0,28066.14
2020-01-01,Casino Queen - Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,Catfish Bend Casino,86699.09,1243932.75,1157233.66,47541.81,692882.36,645340.55,39157.28,551050.39,511893.11,5852.19
2020-01-01,Diamond Jo - Dubuque,235166.25,1122932.5,887766.25,235166.25,1122932.5,887766.25,0.0,0.0,0.0,15873.72
2020-01-01,Diamond Jo - Worth,446490.25,4802169.25,4355679.0,446490.25,4802169.25,4355679.0,0.0,0.0,0.0,30138.09
2020-01-01,Grand Falls Casino Resort,257078.43,2009766.74,1752688.31,227299.25,1424216.62,1196917.37,29779.18,585550.12,555770.94,17352.79
2020-01-01,Hard Rock Casino,106163.43,1745046.61,1638883.18,22621.04,1064312.74,1041691.7,83542.39,680733.87,597191.48,7166.03
2020-01-01,Harrah's Council Bluffs Casino & Hotel,75015.7,1269980.49,1194964.79,75015.7,1269980.49,1194964.79,0.0,0.0,0.0,5063.56
2020-01-01,Horseshoe Casino Council Bluffs,112450.19,2832939.59,2720489.4,112450.19,2832939.59,2720489.4,0.0,0.0,0.0,6477.77
2020-01-01,Isle Casino Hotel Waterloo,322408.05,4194306.88,3871898.83,54825.21,465746.11,410920.9,267582.84,3728560.77,3460977.93,21762.54
2020-01-01,Isle of Capri - Bettendorf,-86097.83,2811632.11,2897729.94,-138444.64,772450.01,910894.65,52346.81,2039182.1,1986835.29,0.0
2020-01-01,Lakeside Casino,115152.69,2073871.59,1958718.9,58809.8,695101.45,636291.65,56342.89,1378770.14,1322427.25,7772.81
2020-01-01,Prairie Meadows Racetrack & Casino,691506.31,20064795.07,19373288.76,109967.8,1416606.5,1306638.7,581538.51,18648188.57,18066650.06,46676.68
2020-01-01,Q Casino,10507.73,2408320.55,2397812.82,-30116.88,1286892.02,1317008.9,40624.61,1121428.53,1080803.92,709.27
2020-01-01,Rhythm City Casino,177982.17,1771460.0,1593477.83,118351.58,699451.89,581100.31,59630.59,1072008.11,1012377.52,12013.8
2020-01-01,Riverside Casino and Golf Resort,243875.86,4772749.32,4528873.46,83548.36,732126.98,648578.62,160327.5,4040622.34,3880294.84,16461.62
2020-01-01,Wild Rose - Clinton,23659.06,205236.51,182869.37,23659.06,205236.51,182869.37,0.0,0.0,0.0,1596.99
2020-01-01,Wild Rose - Emmetsburg,11698.49,154237.37,143344.13,11698.49,154237.37,143344.13,0.0,0.0,0.0,586.6
2020-01-01,Wild Rose - Jefferson,-10757.07,354177.61,364934.68,-10757.07,354177.61,364934.68,0.0,0.0,0.0,0.0
2020-02-01,Ameristar II,-152897.61,3352226.37,3505123.98,-152897.61,3352226.37,3505123.98,0.0,0.0,0.0,0.0
2020-02-01,Casino Queen - Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
